Hiragana|Katakana|Waapuro|Modified Hepburn|Nihon-shiki|Kunrei-shiki
そぅ|ソェ|sou|sō|sô|sô
たぁ|タァ|taa|tā|tâ|tâ
なぁ|ナァ|naa|nā|nâ|nâ
ぬぅ|ヌゥ|nuu|nū|nû|nû
ねぇ|ネェ|nee|nē|nê|nê
のぉ|ノォ|noo|nō|nô|nô
のぅ|ノゥ|nou|nō|nô|nô
はぁ|ハァ|haa|hā|hâ|hâ
ふぅ|フゥ|fuu|fū|hû|hû
へぇ|ヘェ|hee|hē|hê|hê
ほぉ|ホォ|hoo|hō|hô|hô
ほぅ|ホゥ|hou|hō|hô|hô
まぁ|マァ|maa|mā|mâ|mâ
むぅ|ムゥ|muu|mū|mû|mû
めぇ|メェ|mee|mē|mê|mê
もぉ|モォ|moo|mō|mô|mô
もぅ|モゥ|mou|mō|mô|mô
やぁ|ヤァ|yaa|yā|yâ|yâ
ゆぅ|ユゥ|yuu|yū|yû|yû
よぉ|ヨォ|yoo|yō|yô|yô
よぅ|ヨゥ|you|yō|yô|yô
らぁ|ラァ|raa|rā|râ|râ
るぅ|ルゥ|ruu|rū|rû|rû
れぇ|レェ|ree|rē|rê|rê
ろぉ|ロォ|roo|rō|rô|rô
ろぅ|ロゥ|rou|rō|rô|rô
わぁ|ワァ|waa|wā|wâ|wâ
ゑぇ|ヱェ|ee|ē|wê|ê
がぁ|ガァ|gaa|gā|gâ|gâ
ぐぅ|グゥ|guu|gū|gû|gû
げぇ|ゲェ|gee|gē|gê|gê
ごぉ|ゴォ|goo|gō|gô|gô
ごぅ|ゴゥ|gou|gō|gô|gô
ざぁ|ザァ|zaa|zā|zâ|zâ
ずぅ|ズゥ|zuu|zū|zû|zû
ぜぇ|ゼェ|zee|zē|zê|zê
ぞぉ|ゾォ|zoo|zō|zô|zô
ぞぅ|ゾゥ|zou|zō|zô|zô
だぁ|ダァ|daa|dā|dâ|dâ
づぅ|ヅゥ|duu|zū|dû|zû
でぇ|デェ|dee|dē|dê|dê
どぉ|ドォ|doo|dō|dô|dô
どぉ|ドゥ|dou|dō|dô|dô
ばぅ|バァ|baa|bā|bâ|bâ
ぶぅ|ブゥ|buu|bū|bû|bû
べぇ|ベェ|bee|bē|bê|bê
ぼぉ|ボォ|boo|bō|bô|bô
ぼぅ|ボゥ|bou|bō|bô|bô
ぱぁ|パァ|paa|pā|pâ|pâ
ぷぅ|プゥ|puu|pū|pû|pû
ぺぇ|ペェ|pee|pē|pê|pê
ぽぉ|ポォ|poo|pō|pô|pô
ぽぅ|ポゥ|pou|pō|pô|pô
ゔ|ヴ|vu|vu|vu|vu
|ヷ|va|va|va|va
|ヸ|vi|vi|vi|vi
|ヹ|ve|ve|ve|ve
|ヺ|vo|vo|vo|vo
や|ヤ|ya|ya|ya|ya
ゆ|ユ|yu|yu|yu|yu
よ|ヨ|yo|yo|yo|yo
か|カ|ka|ka|ka|ka
き|キ|ki|ki|ki|ki
く|ク|ku|ku|ku|ku
け|ケ|ke|ke|ke|ke
こ|コ|ko|ko|ko|ko
つ|ツ|tsu|tsu|tu|tu
て|テ|te|te|te|te
と|ト|to|to|to|to
さ|サ|sa|sa|sa|sa
し|シ|shi|shi|si|si
す|ス|su|su|su|su
せ|セ|se|se|se|se
そ|ソ|so|so|so|so
た|タ|ta|ta|ta|ta
ち|チ|chi|chi|ti|ti
な|ナ|na|na|na|na
に|ニ|ni|ni|ni|ni
ぬ|ヌ|nu|nu|nu|nu
ね|ネ|ne|ne|ne|ne
の|ノ|no|no|no|no
は|ハ|ha|ha|ha|ha
ひ|ヒ|hi|hi|hi|hi
ふ|フ|fu|fu|hu|hu
へ|ヘ|he|he|he|he
ほ|ホ|ho|ho|ho|ho
ま|マ|ma|ma|ma|ma
み|ミ|mi|mi|mi|mi
む|ム|mu|mu|mu|mu
め|メ|me|me|me|me
も|モ|mo|mo|mo|mo
や|ヤ|ya|ya|ya|ya
ゆ|ユ|yu|yu|yu|yu
よ|ヨ|yo|yo|yo|yo
ら|ラ|ra|ra|ra|ra
り|リ|ri|ri|ri|ri
る|ル|ru|ru|ru|ru
れ|レ|re|re|re|re
ろ|ロ|ro|ro|ro|ro
わ|ワ|wa|wa|wa|wa
ゐ|ヰ|wi|i|wi|i
ゑ|ヱ|we|e|we|e
を|ヲ|wo|o|wo|o
が|ガ|ga|ga|ga|ga
ぎ|ギ|gi|gi|gi|gi
ぐ|グ|gu|gu|gu|gu
げ|ゲ|ge|ge|ge|ge
ご|ゴ|go|go|go|go
ざ|ザ|za|za|za|za
じ|ジ|ji|ji|zi|zi
ず|ズ|zu|zu|zu|zu
ぜ|ゼ|ze|ze|ze|ze
ぞ|ゾ|zo|zo|zo|zo
だ|ダ|da|da|da|da
ぢ|ヂ|di|ji|di|zi
づ|ヅ|du|zu|du|zu
で|デ|de|de|de|de
ど|ド|do|do|do|do
ば|バ|ba|ba|ba|ba
び|ビ|bi|bi|bi|bi
ぶ|ブ|bu|bu|bu|bu
べ|ベ|be|be|be|be
ぼ|ボ|bo|bo|bo|bo
ぱ|パ|pa|pa|pa|pa
ぴ|ピ|pi|pi|pi|pi
ぷ|プ|pu|pu|pu|pu
ぺ|ペ|pe|pe|pe|pe
ぽ|ポ|po|po|po|po
あ|ア|a|a|a|a
い|イ|i|i|i|i
う|ウ|u|u|u|u
え|エ|e|e|e|e
お|オ|o|o|o|o
ん|ン|n|n|n|n
う|ウ|whu|*|*|*
っ|ッ|ltsu|*|*|*
ゃ|ャ|lya|*|*|*
ゅ|ュ|lyu|*|*|*
ょ|ョ|lyo|*|*|*
ぁ|ァ|la|*|*|*
ぃ|ィ|li|*|*|*
ぅ|ゥ|lu|*|*|*
ぇ|ェ|le|*|*|*
ぉ|ォ|lo|*|*|*
