MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
1707|se balancer|VsuruI|||||
1708|partir, être impoli|VsuruI|||||
1709|vivre dans le luxe|VsuruI|||||
1710|être digne de, être proportionné à, correspondre (en sens, fonction, etc.), être équivalent|VsuruI|||||
1711|représenter, être un délégué de|VsuruT|||||
1712|régler (financièrement), régler des comptes, effacer des dettes, liquider, mettre fin à une relation, rompre une relation, enterrer le passé, racheter ses fautes|VsuruT|||||
1713|entrer à l'hôpital, être hospitalisé|VsuruI|||||
1714|exister, être|VsuruI|||||
1715|prouver, démontrer, justifier|VsuruT|||||
1716|se souvenir, se rappeler|VsuruT|||||
1717|injecter|VsuruT|||||
1718|envoyer, transmettre|VsuruT|||||
1719|commencer, partir, décoller|VsuruT|||||
1720|imaginer, deviner|VsuruT|||||
1721|automatiser|VsuruT|||||
1722|être profondément ému, être excité, être passionné, être inspiré, impressionné|VsuruT|||||
1723|prendre l'assiette, lancer un jeu|VsuruI|||||
1724|inspecter, examiner, scanner, vérifier|VsuruT|||||
1725|rechercher (ex. un mot dans un dictionnaire), récupérer (ex. des données), rechercher, faire référence à|VsuruT|||||
1726|faire du tourisme|VsuruI|||||
1727|publier, émettre|VsuruT|||||
1728|se croiser|VsuruI|||||
1729|examiner, envisager, tester, interroger|VsuruT|||||
1730|envoyer, transférer (argent)|VsuruT|||||
1731|tomber, baisser, se dégrader|VsuruI|||||
1732|être fasciné, fasciné, être distrait, être à des kilomètres de là, être dans son propre monde|VsuruI|||||
1733|briller, scintiller|VsuruI|||||
1734|fuir, déserter, s'échapper|VsuruI|||||
1735|voler, monter en flèche|VsuruI|||||
1736|dormir tard, dormir trop longtemps|VsuruI|||||
1737|informer, guider, instruire, diriger, faire connaître, annoncer, inviter, faire la connaissance de|VsuruT|||||
1738|recommander, renvoyer, approuver|VsuruT|||||
1739|faire une sieste|VsuruI|||||
1740|arrêter, appréhender, capturer|VsuruT|||||
1741|faire la course|VsuruI|||||
1742|planifier, organiser, programmer, attendre|VsuruI|||||
1743|feu, éteindre un feu|VsuruI|||||
1744|être reconnaissant|VsuruI|||||
1745|exploser, rompre|VsuruI|||||
1746|connecter, attacher, unir, joindre, lier|VsuruI|||||
1747|changer de train|VsuruI|||||
1748|sourire, faire un visage souriant|VsuruI|||||
1749|faire irruption|VsuruI|||||
1750|se concrétiser, porter ses fruits|VsuruI|||||
1751|faire de la publicité, promouvoir|VsuruT|||||
1752|sauter la classe, couper la classe, procrastiner|VsuruI|||||
1753|être en difficulté, avoir mal|VsuruI|||||
1754|être inquiet, être concerné, prendre soin|VsuruI|||||
1755|travailler trop dur|VsuruI|||||
1756|restreindre, contraindre, lier|VsuruT|||||
1757|se renseigner, interroger, renvoyer une affaire|VsuruI|||||
1758|tenir fermement|VsuruI|||||
1759|être fortement construit, être solidement construit, être solide, être stable|VsuruI|||||
1760|travailler dur|VsuruI|||||
1761|être fiable, avoir le sens de la tête, être perspicace, être sage, être intelligent|VsuruI|||||
1762|diriger, instruire, ordonner, commander|VsuruT|||||
1763|être en pleine floraison|VsuruI|||||
1764|fournir un repas, fournir un service de déjeuner|VsuruI|||||
1765|rechercher un emploi|VsuruI|||||
1766|se retirer temporairement, être suspendu de ses fonctions|VsuruI|||||
1767|contribuer, faire un don|VsuruI|||||
1768|déposer des fleurs en offrande ou en hommage|VsuruI|||||
1769|superviser, contrôler, diriger|VsuruT|||||
1770|coordonner, gérer les affaires|VsuruI|||||
1771|récupérer complètement|VsuruI|||||
1772|avoir confiance en soi|VsuruI|||||
1773|se former, s'établir, se matérialiser, naître|VsuruI|||||
1774|conclure (ex. un accord), approuver, compléter, organiser|VsuruT|||||
1775|être valide (théorie, argumentation, etc.), tenir, appliquer|VsuruI|||||
1776|trier, organiser, mettre en ordre, ajuster, régler|VsuruT|||||
1777|liquider, régler, consolider, apurer (ex. une dette), payer|VsuruT|||||
1778|se rétracter, réduire, couper, disposer|VsuruT|||||
1779|être amer, être en détresse, être dans la souffrance, être dans l'angoisse, être affligé|VsuruI|||||
1780|écrire (un manuscrit, une version, une rédaction)|VsuruI|||||
1781|être mis à la honte, être éclipsé, se sentir gêné|VsuruI|||||
1782|se rencontrer, se présenter|VsuruI|||||
1783|confluer (des rivières), fusionner (du trafic), rejoindre|VsuruI|||||
1784|unir (ex. des forces), relier, fusionner, se réunir|VsuruI|||||
1785|rationaliser|VsuruT|||||
1786|torturer|VsuruT|||||
1787|se mettre d'accord, consentir, se comprendre mutuellement, être d'accord|VsuruI|||||
1788|fusionner (des entreprises, des villes, etc.), fusionner, unir, consolider, être annexé, être affilié, être constitué en société|VsuruI|||||
1789|opposer, résister, être insubordonné, défier, être hostile, se rebeller|VsuruI|||||
1790|équivaloir à, quantifier à|VsuruI|||||
1791|classer, trier|VsuruT|||||
1792|être divisé, rompre|VsuruI|||||
1793|distribuer, allouer|VsuruT|||||
1794|désassembler, démanteler, désagréger, analyser, désintégrer, dégrader|VsuruT|||||
1795|factoriser|VsuruT|||||
1796|décomposer, résoudre|VsuruT|||||
1797|débloquer|VsuruT|||||
1798|insulter, mépriser|VsuruT|||||
1799|pardonner, tolérer, négliger|VsuruT|||||
1800|être indulgent, avoir pitié|VsuruI|||||
1801|entrer, s'approcher, pénétrer|VsuruT|||||
1802|envahir, inciter, piller, agresser, faire intrusion, pénétrer|VsuruT|||||
1803|congeler, réfrigérer|VsuruT|||||
1804|adorer (en part. chrétien)|VsuruT|||||
1805|adorer (en part. bouddhiste et shintoïste)|VsuruI|||||
1806|exterminer (surt. les nuisibles), expulser, détruire|VsuruT|||||
1807|compléter, conclure|VsuruT|||||
1808|lever une interdiction, lever un embargo, ouvrir une saison (chasse, pêche, etc.)|VsuruT|||||
1809|publier des contenus, révéler des informations|VsuruT|||||
1810|emballer|VsuruT|||||
1811|balayer|VsuruT|||||
1812|signaler, couvrir (dans l'actualité)|VsuruT|||||
1813|copier, dupliquer, reproduire|VsuruT|||||
1814|jouer lentement, jouer à l'aise, faire du repos|VsuruI|||||
1815|estimer, faire un budget|VsuruI|||||
1816|appliquer (ex. une technologie), adopter|VsuruT|||||
1817|compléter, accomplir, atteindre la grandeur ou le succès|VsuruT|||||
1818|estimer|VsuruT|||||
1819|piloter, voler, opérer|VsuruT|||||
1820|gérer, contrôler, manipuler|VsuruT|||||
1821|se multiplier, se synergiser|VsuruT|||||
1822|démissionner en masse|VsuruI|||||
1823|terminer, fermer|VsuruT|||||
1824|finir, fermer|VsuruT|||||
1825|incinérer, détruire par le feu|VsuruT|||||
1826|effectuer un nouveau travail, effectuer une nouvelle production|VsuruI|||||
1827|construire un nouveau bâtiment|VsuruI|||||
1828|ingérer (ex. du sel)|VsuruI|||||
1829|absorber (ex. de nouvelles connaissances), adopter (ex. de culture étrangère), assimiler|VsuruT|||||
1830|recevoir et protéger|VsuruT|||||
1831|additionner|VsuruI|||||
1832|intégrer|VsuruI|||||
1833|estimer, surveiller une quantité|VsuruI|||||
1834|utiliser, adopter, accepter|VsuruT|||||
1835|nommer, employer, engager, recruter|VsuruT|||||
1836|adopter, choisir|VsuruT|||||
1837|coudre, faire des travaux d'aiguille|VsuruI|||||
1838|profiter, gagner|VsuruI|||||
1839|être utile, être intéressant (pour le public, etc.)|VsuruI|||||
1840|grâcer (Dieu, Bouddha, etc.) (en part. grâce à des actions légitimes, à la prière, à l'adhésion à sa foi, etc.), bénir, accomplir un miracle|VsuruI|||||
1841|se rapprocher de (l'ennemi, la première place, etc.)|VsuruI|||||
1842|s'appuyer (ex. avec une question), se mettre au travail, griller|VsuruT|||||
1843|contribuer (promouvoir un objectif ou une cause), servir (une cause)|VsuruI|||||
1844|garder|VsuruT|||||
1845|assister à une représentation théâtrale, inciter|VsuruT|||||
1846|déclarer, professer|VsuruT|||||
1847|éclairer, instruire, éduquer|VsuruT|||||
1848|éclairer, développer, édifier, sensibiliser, éduquer, inspirer|VsuruT|||||
1849|approuver, adopter (ex. une motion, facture), adopter|VsuruT|||||
1850|faire un tour, faire un circuit|VsuruI|||||
1851|inventer|VsuruT|||||
1852|être éclairé (personnel)|VsuruI|||||
1853|discuter, se concerter|VsuruI|||||
1854|approximer, fournir une estimation approximative de|VsuruT|||||
1855|jouer (dans une comédie musicale), jouer (un instrument)|VsuruT|||||
1856|agir, jouer|VsuruI|||||
1857|s'échapper, sortir|VsuruI|||||
1858|prolapser|VsuruI|||||
1859|usurper, reprendre, déposséder|VsuruT|||||
1860|se précipiter|VsuruI|||||
1861|contester, défier, oser, essayer|VsuruT|||||
1862|commencer le travail, entreprendre|VsuruI|||||
1863|commencer à commettre un crime|VsuruI|||||
1864|commencer les travaux|VsuruI|||||
1865|jouer dans un groupe, créer un groupe (pop)|VsuruI|||||
1866|témoigner (norm. contexte religieux chrétien)|VsuruI|||||
1867|avancer, progresser|VsuruI|||||
1868|approuver, permettre, accepter, tolérer|VsuruT|||||
1869|faire des arrangements à l'avance, faire une réunion préparatoire, faire une séance d'information|VsuruI|||||
1870|se chevaucher (manteau, etc.)|VsuruT|||||
1871|faire correspondre quelque chose exactement|VsuruT|||||
1872|arriver|VsuruI|||||
1873|être de marque spéciale, être de luxe|VsuruI|||||
1874|protuber, se projeter, être mis en évidence|VsuruI|||||
1875|présenter (documents), soumettre (une demande, faire rapport, etc.), produire (ex. des preuves), présenter (ex. un projet de loi), déposer, rendre|VsuruT|||||
1876|s'installer, résider en permanence|VsuruI|||||
1877|présenter, exposer, suggérer, citer|VsuruT|||||
1878|définir|VsuruT|||||
1879|subir une panne d'électricité, subir une panne d'alimentation électrique|VsuruI|||||
1880|bloquer (avec un barrage, remblai, levée, etc.)|VsuruT|||||
1881|proposer, suggérer|VsuruT|||||
1882|naître, être créé, être formé|VsuruI|||||
1883|hériter|VsuruT|||||
1884|être diplômé, terminer (ex. un cours)|VsuruI|||||
1885|dépasser quelque chose, passer à autre chose|VsuruT|||||
1886|attaquer, charger, faire un raid|VsuruT|||||
1887|agresser, envahir, piller|VsuruT|||||
1888|balancer, influencer, contrôler, dominer|VsuruT|||||
1889|reporter|VsuruT|||||
1890|être un pionnier, être un leader, prendre des initiatives, être un précurseur, être un héraut|VsuruI|||||
1891|mener une attaque, charger devant les autres (vers l'ennemi)|VsuruI|||||
1892|obtenir une exemption de taxe, obtenir une exemption de droit|VsuruI|||||
1893|être en entrevue (ex. pour un emploi)|VsuruI|||||
1894|autoriser, certifier|VsuruT|||||
1895|rencontrer (face à face), interviewer|VsuruT|||||
1896|exempter, exonérer, libérer|VsuruT|||||
1897|respirer|VsuruI|||||
1898|établissement, création (d'un règlement)|N;Ac|||||
1899|taxer|VsuruT|||||
1900|regarder un match (sportif), observer (opérations militaires)|VsuruT|||||
1901|s'infecter, se contaminer|VsuruI|||||
1902|faire un tour à cheval|VsuruI|||||
1903|être vivant, être animé, être actif, être énergique|VsuruI|||||
1904|abandonner, déserter|VsuruT|||||
1905|aller successivement à plusieurs endroits|VsuruI|||||
1906|réagir|VsuruI|||||
1907|percevoir, sentir, être conscient de|VsuruT|||||
1908|partir à l'aventure|VsuruI|||||
1909|s'engager dans une entreprise peu susceptible de réussir, tenter quelque chose de risqué, se mettre en danger|VsuruI|||||
1910|bavarder, parler inutilement|VsuruI|||||
1911|assister (école, collège, etc.), être inscrit, être étudiant|VsuruI|||||
1912|passer|VsuruI|||||
1913|être utilisé couramment|VsuruI|||||
1914|ignorer, regarder dans l'autre sens, laisser passer|VsuruT|||||
1915|passer, traverser|VsuruI|||||
1916|partir tôt|VsuruI|||||
1917|endommager, blesser|VsuruT|||||
1918|finir, être résolu|VsuruI|||||
1919|rassembler, assembler, rencontrer|VsuruI|||||
1920|mettre en place|VsuruI|||||
1921|pratiquer par ascèse|VsuruI|||||
1922|former, pratiquer, avoir de la discipline, étudier|VsuruI|||||
1923|épuiser, consommer, utiliser, dissiper, gaspiller, user|VsuruT|||||
1924|avoir du potentiel, être en sommeil, être latent|VsuruI|||||
1925|travailler exclusivement pour, travailler à temps plein pour|VsuruI|||||
1926|laver|VsuruT|||||
1927|nettoyer (l'esprit et le corps)|VsuruI|||||
1928|guider, diriger|VsuruT|||||
1929|monter et descendre (véhicule)|VsuruT|||||
1930|transférer (trains, bus, etc.), faire une connection|VsuruI|||||
1931|échanger|VsuruI|||||
1932|traverser (chromosomes)|VsuruI|||||
1933|pratiquer, expérimenter|VsuruT|||||
1934|rejoindre un groupe|VsuruI|||||
1935|faire une erreur, échouer|VsuruI|||||
1936|rêver|VsuruI|||||
1937|être élevé, s'élever, améliorer, avancer, progresser|VsuruI|||||
1938|soustraire, déduire (ex. impôt), subventionner|VsuruT|||||
1939|s'abstenir (de voter), renoncer (à un droit), se retirer (d'un concours)|VsuruI|||||
1940|pratiquer, se former, étudier|VsuruT|||||
1941|ajouter des points ou marquer|VsuruI|||||
1942|ajouter des marques et des symboles à un texte chinois classique pour faciliter la lecture en japonais|VsuruI|||||
1943|calculer, compter|VsuruT|||||
1944|payer (une facture), régler (un compte)|VsuruT|||||
1945|considérer, permettre|VsuruT|||||
1946|réorganiser|VsuruT|||||
1947|pratiquer (sur le terrain), former (surt. pratique), exercer, forer|VsuruI|||||
1948|appliquer, mettre en oeuvre, mettre en pratique, effectuer une opération, travailler|VsuruT|||||
1949|pratiquer, mettre en pratique, mettre en oeuvre|VsuruT|||||
1950|s'entraîner|VsuruI|||||
1951|exercer, manoeuvrer|VsuruI|||||
1952|être à un séminaire (débats d'étudiants, présentations, etc.)|VsuruI|||||
1953|tomber légèrement (ex. neige, pétales, confettis), flotter|VsuruI|||||
1954|scintiller, briller, éblouir|VsuruI|||||
1955|apparaître et disparaître|VsuruI|||||
1956|regarder (à plusieurs reprises)|VsuruI|||||
1957|(entendre, voir) de temps en temps ou par intermittence|VsuruI|||||
1958|être en lambeaux, être en haillons, être émietté|VsuruI|||||
1959|faire un brouillon|VsuruI|||||
1960|effectuer une inspection préliminaire, jeter un coup d'oeil à l'avance|VsuruI|||||
1961|effectuer une lecture préparatoire (ex. de notes de cours)|VsuruI|||||
1962|effectuer une enquête préliminaire, préparer|VsuruI|||||
1963|faire de la gymnastique, faire des exercices physiques|VsuruI|||||
1964|augmenter un salaire|VsuruT|||||
1965|contrôler (une machine, un appareil, etc.)|VsuruI|||||
1966|contrôler (un adversaire, ses émotions, etc.), gouverner, gérer, réprimer, garder le contrôle|VsuruT|||||
1967|conclure, décider, mettre fin à, régler|VsuruT|||||
1968|s'armer|VsuruI|||||
1969|règlement (d'un compte)|N;Ac|||||
1970|être victorieux, être un champion|VsuruI|||||
1971|se coucher tard|VsuruI|||||
1972|avoir des relations sexuelles extraconjugales, avoir une liaison|VsuruI|||||
1973|être infidèle, être vaniteux, être inconstant, être capricieux|VsuruI|||||
1974|passer (tunnel, gare, ville, etc.), passer (ex. un typhon), traverser|VsuruI|||||
1975|passer (d'un projet de loi, par exemple par le parlement)|VsuruI|||||
1976|passer (un examen, une inspection, etc.)|VsuruI|||||
1977|creuser un tunnel (à travers une barrière potentielle)|VsuruI|||||
1978|laisser passer un homme de terrain entre ses jambes|VsuruI|||||
1979|rediriger, transmettre, transférer (appel téléphonique, courrier électronique, etc.)|VsuruT|||||
1980|poser (une question, un problème), engager (un procès), déposer (une réclamation), soumettre (une affaire)|VsuruT|||||
1981|soulever|VsuruT|||||
1982|dialoguer, discuter|VsuruI|||||
1983|être en contraste avec, être en antithèse à, comparer à|VsuruI|||||
1984|traiter, faire face à|VsuruI|||||
1985|faire la guerre, rivaliser avec, affronter|VsuruI|||||
1986|correspondre (à), être équivalent|VsuruI|||||
1987|être approprié, être coordonné, correspondre|VsuruI|||||
1988|traiter, faire face, réagir|VsuruI|||||
1989|être compatible (avec la technologie, les logiciels, etc.), être capable de donner un soutien (pour)|VsuruI|||||
1990|s'opposer, contrarier|VsuruT|||||
1991|confronter|VsuruT|||||
1992|contraster, comparer|VsuruT|||||
1993|parler, dialoguer, converser|VsuruI|||||
1994|intenter une action en justice|VsuruI|||||
1995|monter sur la base, atteindre la première base|VsuruI|||||
1996|gagner un procès|VsuruI|||||
1997|avoir le coeur brisé, être amoureux|VsuruI|||||
1998|proposer, prêcher, sermonner|VsuruI|||||
1999|faire des remontrances, gronder|VsuruT|||||
2000|avoir des relations sexuelles, avoir des rapports sexuels|VsuruI|||||
2001|se rapprocher, s'approcher|VsuruI|||||
2002|ne pas être très différent, être proche (âge, habileté, etc.)|VsuruI|||||
2003|devenir proche (convivial), devenir intime|VsuruI|||||
2004|réclamer, demander, facturer (un service)|VsuruT|||||
2005|couper, réduire|VsuruT|||||
2006|continuer, réussir|VsuruT|||||
2007|associer (idées), se connecter, se rappeler (de quelque chose)|VsuruT|||||
2008|unir, allier, combiner|VsuruI|||||
2009|aimer, faire l'amour|VsuruI|||||
2010|refroidir, climatiser|VsuruT|||||
2011|pointer|VsuruI|||||
2012|devenir riche, être juste sur la marque|VsuruI|||||
2013|manger de la viande|VsuruI|||||
2014|se remplir l'estomac, se nourrir|VsuruI|||||
2015|négocier, discuter|VsuruI|||||
2016|se connecter|VsuruI|||||
2017|fumer|VsuruI|||||
2018|être en déficit, être en pénurie, être à perte|VsuruI|||||
2019|être partiellement cassé, être partiellement manquant, être partiellement enlevé|VsuruI|||||
2020|se faire couper les cheveux|VsuruI|||||
2021|mélanger (cartes)|VsuruT|||||
2022|manger entre repas, grignoter|VsuruI|||||
2023|transférer, renoncer (son stock à un autre)|VsuruT|||||
2024|déménager, changer d'adresse|VsuruI|||||
2025|transférer (actes, à la propriété, etc.)|VsuruT|||||
2026|transférer, transporter, enlever|VsuruT|||||
2027|changer le registre de ménage, transférer (ex. son nom dans le registre)|VsuruI|||||
2028|transférer à une autre équipe|VsuruI|||||
2029|manger et boire|VsuruI|||||
2030|transférer, remettre|VsuruT|||||
2031|se déplacer, transférer, migrer, être enlevé, voyager|VsuruI|||||
2032|changer (personnel), transférer, remanier|VsuruI|||||
2033|favoriser, donner un patronage à, être partial à|VsuruT|||||
2034|mal comprendre|VsuruI|||||
2035|désirer, aspirer à|VsuruT|||||
2036|sortir de la maison, aller au travail|VsuruI|||||
2037|manger au restaurant|VsuruI|||||
2038|lire|VsuruI|||||
2039|transmettre (ex. des nouvelles, des signaux chimiques, de l'électricité), communiquer, livrer, transporter, transférer, relayer, propager, conduire|VsuruT|||||
2040|se retirer (ex. d’une organisation), se séparer, partir|VsuruI|||||
2041|recevoir|VsuruI|||||
2042|manger, boire, avoir|VsuruT|||||
2043|rire de force, sourire de force|VsuruI|||||
2044|être victorieux|VsuruI|||||
2045|régner, dicter, contrôler|VsuruI|||||
2046|reculer, se rétracter|VsuruI|||||
2047|recéder, décroître|VsuruI|||||
2048|soutenir|VsuruI|||||
2049|avoir des appréhensions, avoir des doutes, être inquiet, avoir peur|VsuruI|||||
2050|changer de vêtements|VsuruI|||||
2051|porter (ex. uniforme, ceinture de sécurité), avoir|VsuruI|||||
2052|s'asseoir (à sa place)|VsuruI|||||
2053|atterrir|VsuruI|||||
2054|atterrir|VsuruI|||||
2055|régler, prendre des mesures|VsuruT|||||
2056|soutenir, stimuler|VsuruT|||||
2057|pousser par derrière (un chariot, etc.)|VsuruT|||||
2058|être originaire, être la source, dériver de|VsuruI|||||
2059|signaler, répondre, produire des résultats|VsuruI|||||
2060|répondre, défendre|VsuruI|||||
2061|faire diverses choses, faire ceci et cela|VsuruI|||||
2062|explorer, participer à une expédition|VsuruI|||||
2063|être rafraîchi|VsuruI|||||
2064|être bien fait, être soigné, être raffiné|VsuruI|||||
2065|être propre|VsuruI|||||
2066|être clair, être distinct|VsuruI|||||
2067|être minutieux|VsuruI|||||
2068|avoir un match, être dans un concours, jouer à un jeu, se battre|VsuruI|||||
2069|éjaculer|VsuruI|||||
2070|tirer à mort|VsuruT|||||
2071|tirer|VsuruT|||||
2072|combattre|VsuruI|||||
2073|mourir au combat|VsuruI|||||
2074|avoir une connaissance approfondie de, être un expert en, être bien versé dans, être au courant|VsuruT|||||
2075|éjaculer pour la première fois|VsuruI|||||
2076|affiner, purifier|VsuruT|||||
2077|se sentir reposé, se sentir soulagé|VsuruI|||||
2078|être propre, être bien rangé|VsuruI|||||
2079|être franc, avoir le coeur ouvert, être simple, être léger|VsuruI|||||
2080|écrire (un essai, une prose, etc.), composer|VsuruT|||||
2081|écrire formellement sans grand sens|VsuruT|||||
2082|composer, mettre (de la musique)|VsuruT|||||
2083|stériliser, désinfecter|VsuruT|||||
2084|halluciner|VsuruT|||||
2085|se méprendre, se confondre avec quelqu'un ou quelque chose d'autre|VsuruT|||||
2086|faire pipi, pisser|VsuruI|||||
2087|se retourner en dormant dans son lit|VsuruI|||||
2088|trahir, doubler|VsuruT|||||
2089|rêver, avoir une vision|VsuruI|||||
2090|témoigner, observer, voir|VsuruT|||||
2091|se déplacer|VsuruI|||||
2092|prendre parti avec, soutenir, rester en place, sauvegarder|VsuruT|||||
2093|absorber, sucer, attirer|VsuruT|||||
2094|grandir rapidement|VsuruI|||||
2095|résider|VsuruI|||||
2096|être ennuyé, être irrité, être contrarié|VsuruI|||||
2097|changer (personnel), remanier (ex. un cabinet), remanier, renvoyer (ex. un ministre), remplacer|VsuruT|||||
2098|renouveler, mettre à jour, améliorer|VsuruI|||||
2099|faire la guerre, faire la bataille, s'engager dans des hostilités|VsuruI|||||
2100|se réhabiliter, refaire sa vie, recommencer la vie|VsuruI|||||
2101|renaître, se régénérer, se réorganiser, se reconstruire, se rétablir, se restaurer, se refaire|VsuruI|||||
2102|revenir à la vie, être ressuscité, ressusciter|VsuruI|||||
2103|corriger, réviser, rectifier|VsuruT|||||
2104|renouveler, prolonger, réviser|VsuruT|||||
2105|durcir, vulcaniser, guérir|VsuruI|||||
2106|se durcir (attitude, posture, etc.), se raidir|VsuruI|||||
2107|avoir une reprise (sur le marché), se raffermir|VsuruI|||||
2108|se raidir, devenir rigide, être rigoureux, être raide, s'ossifier, se pétrifier|VsuruI|||||
2109|changer de vêtements de façon saisonnière|VsuruI|||||
2110|être rénové, avoir un lifting, changer d'aspect|VsuruI|||||
2111|nommer (à un poste, à un emploi, etc.), utiliser pour un rôle, promouvoir|VsuruT|||||
2112|poursuivre, inculper|VsuruI|||||
2113|se lever, se lever du lit|VsuruI|||||
2114|se lever|VsuruI|||||
2115|emprisonner (sans travail forcé), incarcérer, confiner|VsuruT|||||
2116|provenir de, être causé par|VsuruI|||||
2117|onduler|VsuruI|||||
2118|avoir des hauts et des bas|VsuruI|||||
2119|faire des affaires, faire des finances|VsuruI|||||
2120|planifier, projeter, programmer|VsuruT|||||
2121|se battre, s'engager, contester|VsuruT|||||
2122|être humide, être moite, être lourd, être détrempé|VsuruI|||||
2123|être sombre, mélancolique, déprimant|VsuruI|||||
2124|faire du mal, faire une blague, tromper, blaguer|VsuruI|||||
2125|faire comme passe-temps|VsuruI|||||
2126|jouer avec (un briquet, etc.), s'amuser, manipuler|VsuruI|||||
2127|se comporter de manière obscène envers, se comporter mal sexuellement envers, agresser sexuellement, molester, violer|VsuruT|||||
2128|faire la bataille, jouer, se battre|VsuruI|||||
2129|s'endormir (sur un seige)|VsuruI|||||
2130|se métamorphoser, se déguiser, se transformer|VsuruI|||||
2131|changer, faire la transition|VsuruI|||||
2132|transformer, varier, se métamorphoser, se modifier, se déformer|VsuruI|||||
2133|changer, convertir, transformer|VsuruI|||||
2134|changer, transformer, innover, réformer, révolutionner, bouleverser|VsuruT|||||
2135|changer, fluctuer|VsuruI|||||
2136|transfigurer, transformer, changer d'apparence|VsuruI|||||
2137|se propager, s'étendre, onduler|VsuruI|||||
2138|déchirer et jeter (ex. des documents), disposer (ex. des armes), détruire|VsuruT|||||
2139|annuler, abroger, rompre (ex. un traité)|VsuruT|||||
2140|renverser (une décision originale)|VsuruT|||||
2141|subir la défaite, perdre une bataille, perdre une guerre|VsuruI|||||
2142|plaire, amuser|VsuruT|||||
2143|se battre férocement, se battre dur, contester ardemment|VsuruT|||||
2144|être solide, être robuste, être bien construit|VsuruI|||||
2145|être serré, être tendu|VsuruI|||||
2146|être astucieux|VsuruI|||||
2147|accepter, se conformer|VsuruI|||||
2148|se liquéfier|VsuruI|||||
2149|graver|VsuruT|||||
2150|avoir des relations sexuelles, copuler, baiser|VsuruT|||||
2151|avoir de la sympathie, avoir de la compassion, avoir pitié de|VsuruI|||||
2152|avoir de la sympathie, être d'accord avec, s'aligner avec, se conformer, s'accorder avec|VsuruI|||||
2153|être sordide, être boueux|VsuruI|||||
2154|devenir élève, devenir apprenti|VsuruI|||||
2155|agir en tant qu'agent, agir au nom de (quelqu'un), exécuter des affaires pour|VsuruI|||||
2156|mendier (animal)|VsuruI|||||
2157|se détériorer, s'aggraver, dégénérer, se corrompre|VsuruI|||||
2158|augmenter (impôt)|VsuruI|||||
2159|monter (de rivière, de lac, etc.), gonfler (eau), augmenter (eau)|VsuruI|||||
2160|promouvoir, augmenter, avancer|VsuruT|||||
2161|étendre, ajouter (équipement, installations, etc.)|VsuruT|||||
2162|augmenter, renforcer|VsuruT|||||
2163|augmenter le nombre de trains en service, augmenter les émissions obligataires|VsuruI|||||
2164|pour créer un montant accru|VsuruI|||||
2165|pour agrandir, pour augmenter|VsuruT|||||
2166|jurer, promettre, se crocheter les doigts pour confirmer une promesse|VsuruI|||||
2167|utiliser correctement, utiliser (différentes choses) à des fins différentes|VsuruT|||||
2168|se précipiter dans, percer, prendre d'assaut|VsuruT|||||
2169|plonger dans (guerre, etc.), se lancer dans (nouvelle entreprise)|VsuruI|||||
2170|traiter, faire des affaires|VsuruI|||||
2171|publier (article ex. journal, édition spéciale, rapport)|VsuruT|||||
2172|évacuer, retirer, révoquer, abroger, se retirer|VsuruT|||||
2173|déménager, changer de résidence|VsuruI|||||
2174|corriger, réviser, modifier|VsuruT|||||
2175|guider, diriger, agir comme guide|VsuruT|||||
2176|avoir de l'influence, avoir des relations, avoir de bons offices|VsuruI|||||
2177|se mettre à l'étalage|VsuruT|||||
2178|prendre sa retraite|VsuruI|||||
2179|sentir, expérimenter|VsuruT|||||
2180|démissionner, prendre sa retraite|VsuruI|||||
2181|se retirer, décamper|VsuruI|||||
2182|envoyer (en part. des pièces jointes), transférer|VsuruT|||||
2183|modifier, corriger, réviser, retoucher, mettre à jour|VsuruT|||||
2184|blesser|VsuruT|||||
2185|agresser, infliger des lésions corporelles|VsuruT|||||
2186|savoir, être conscient|VsuruI|||||
2187|consentir, accepter, admettre, se conformer, reconnaître|VsuruI|||||
2188|pardonner, excuser|VsuruT|||||
2189|effectuer des essais et des erreurs|VsuruI|||||
2190|faire une tentative, faire un essai|VsuruI|||||
2191|exécuter, faire respecter|VsuruT|||||
2192|donner l'aumône, donner à manger aux pauvres ou aux moines|VsuruI|||||
2193|penser, considérer|VsuruI|||||
2194|avoir l'intention de, viser, avoir une préférence (pour), avoir une orientation (vers un but)|VsuruT|||||
2195|aimer, préférer|VsuruT|||||
2196|exécuter, appliquer|VsuruT|||||
2197|commencer le travail|VsuruI|||||
2198|transférer la capitale|VsuruI|||||
2199|rougir|VsuruI|||||
2200|embarrasser|VsuruT|||||
2201|photographier, filmer, enregistrer|VsuruT|||||
2202|évaluer (valeur, dommages-intérêts, etc.), réviser (un budget)|VsuruT|||||
2203|faire un retour, faire une récupération, être restauré, rallier|VsuruI|||||
2204|mener|VsuruI|||||
2205|lire|VsuruT|||||
2206|être optimiste|VsuruI|||||
2207|reconnaître, connaître, percevoir, comprendre|VsuruT|||||
2208|perdre (argent, temps, etc.), gaspiller|VsuruT|||||
2209|s'excuser|VsuruI|||||
2210|transporter par air|VsuruT|||||
2211|effectuer un raid aérien|VsuruI|||||
2212|bombarder|VsuruT|||||
2213|diviser, partitionner|VsuruT|||||
2214|faire un discours, s'exprimer|VsuruI|||||
